scientificName,lon,lat
Trichechus manatus,-80.217683,27.234876
Trichechus manatus,-80.143569,25.875695
Trichechus manatus,-81.089887,25.277476
Trichechus manatus,-81.789325,26.685937
Trichechus manatus,-80.561912,28.057385
Trichechus manatus,-80.727507,28.598908
Trichechus manatus,-81.082035,25.276925
Trichechus manatus,-81.817767,26.336395
Trichechus manatus,-80.176757,25.763115
Trichechus manatus,-80.239207,25.724055
Trichechus manatus,-80.61971,26.98474
Trichechus manatus,-80.14516,25.75632
Trichechus manatus,-81.508487,25.888615
Trichechus manatus,-82.98832,29.46255
Trichechus manatus,-80.727373,28.379363
Trichechus manatus,-81.393899,29.132076
Trichechus manatus,-82.592547,28.890635
Trichechus manatus,-82.601612,27.87149
Trichechus manatus,-80.267357,25.716225
Trichechus manatus,-82.024806,26.552629
Trichechus manatus,-82.596897,28.883125
Trichechus manatus,-80.328083,25.540282
Trichechus manatus,-80.659777,28.333825
Trichechus manatus,-82.25198,27.03804
Trichechus manatus,-82.594227,28.887375
Trichechus manatus,-82.588827,28.888325
Trichechus manatus,-80.541892,25.003301
Trichechus manatus,-80.122916,26.94336
Trichechus manatus,-80.755884,28.73527
Trichechus manatus,-81.796996,26.69511
Trichechus manatus,-80.612707,28.200635
Trichechus manatus,-80.922267,25.331805
Trichechus manatus,-81.374557,25.795835
Trichechus manatus,-80.184165,25.820116
Trichechus manatus,-80.62377,28.19111
Trichechus manatus,-80.18749,26.07827
Trichechus manatus,-80.723565,28.571926
Trichechus manatus,-81.408709,29.080036
Trichechus manatus,-80.69821,28.36886
Trichechus manatus,-81.689333,26.05019
Trichechus manatus,-80.152426,25.754937
Trichechus manatus,-82.59505,28.87998
Trichechus manatus,-80.049424,26.568312
Trichechus manatus,-80.781446,28.510004
Trichechus manatus,-80.265417,25.730195
Trichechus manatus,-82.577577,27.634525
Trichechus manatus,-80.05019,26.76082
Trichechus manatus,-80.603011,28.164407
Trichechus manatus,-80.543861,25.001134
Trichechus manatus,-80.305496,25.615579
Trichechus manatus,-81.01397,25.21778
Trichechus manatus,-82.047227,26.502685
Trichechus manatus,-82.257717,26.743885
Trichechus manatus,-80.6389,28.40934
Trichechus manatus,-81.7847,26.6881
Trichechus manatus,-80.505175,27.832969
Trichechus manatus,-80.433099,25.109459
Trichechus manatus,-82.436592,27.134842
Trichechus manatus,-80.050327,26.762575
Trichechus manatus,-80.602677,28.511775
Trichechus manatus,-82.049127,26.641525
Trichechus manatus,-80.184032,26.133939
Trichechus manatus,-82.044917,26.639735
Trichechus manatus,-82.589107,28.887825
Trichechus manatus,-80.337287,25.348835
Trichechus manatus,-80.185035,25.796267
Trichechus manatus,-80.148939,25.924816
Trichechus manatus,-80.192047,26.073465
Trichechus manatus,-80.10771,26.13638
Trichechus manatus,-80.601784,28.594936
Trichechus manatus,-81.040027,25.233536
Trichechus manatus,-82.078978,26.644793
Trichechus manatus,-82.598417,28.799305
Trichechus manatus,-82.79674,27.98913
Trichechus manatus,-80.137917,25.755515
Trichechus manatus,-81.365327,25.779275
Trichechus manatus,-80.745882,28.74527
Trichechus manatus,-80.274027,25.733995
Trichechus manatus,-80.6166,28.16636
Trichechus manatus,-82.52134,27.27316
Trichechus manatus,-81.341927,28.942967
Trichechus manatus,-82.582414,27.33547
Trichechus manatus,-80.51807,27.83726
Trichechus manatus,-82.00285,27.06429
Trichechus manatus,-82.238989,26.783784
Trichechus manatus,-81.341449,28.943265
Trichechus manatus,-82.780438,28.16345
Trichechus manatus,-82.306848,22.677892
Trichechus manatus,-81.153887,25.425225
Trichechus manatus,-80.106593,26.126273
Trichechus manatus,-80.933907,25.289346
Trichechus manatus,-82.407248,27.775743
Trichechus manatus,-82.718657,28.959885
Trichechus manatus,-82.589207,28.799383
Trichechus manatus,-81.339452,28.946781
Trichechus manatus,-81.755413,26.722474
Trichechus manatus,-80.197757,26.070275
Trichechus manatus,-80.340147,27.537091
Trichechus manatus,-80.20505,27.160605
Trichechus manatus,-81.782329,26.689156
Trichechus manatus,-82.58933,28.887945
Trichechus manatus,-81.79707,26.691768
Trichechus manatus,-82.539517,27.939795
Trichechus manatus,-80.498077,27.840471
Trichechus manatus,-82.591077,28.799445
Trichechus manatus,-80.545204,24.985608
Trichechus manatus,-80.57981,28.03066
Trichechus manatus,-82.592547,28.890625
Trichechus manatus,-81.115637,25.561075
Trichechus manatus,-74.76486,10.96611
Trichechus manatus,-80.625513,28.122559
Trichechus manatus,-80.176351,27.171606
Trichechus manatus,-82.610258,27.34823
Trichechus manatus,-81.778857,26.693865
Trichechus manatus,-80.124307,26.083435
Trichechus manatus,-80.534287,27.831655
Trichechus manatus,-81.623702,30.366909
Trichechus manatus,-82.603768,28.802857
Trichechus manatus,-80.050457,26.765165
Trichechus manatus,-80.08938,26.252204
Trichechus manatus,-81.851877,26.489095
Trichechus manatus,-81.798911,26.695283
Trichechus manatus,-82.064905,26.812065
Trichechus manatus,-81.337831,25.901749
Trichechus manatus,-80.043635,26.647411
Trichechus manatus,-80.103847,26.173155
Trichechus manatus,-82.593211,28.894943
Trichechus manatus,-80.045547,26.658975
Trichechus manatus,-81.12342,29.25587
Trichechus manatus,-80.736297,24.861532
Trichechus manatus,-80.261847,25.706185
Trichechus manatus,-82.418981,27.792547
Trichechus manatus,-82.601227,28.879085
Trichechus manatus,-81.934397,26.570485
Trichechus manatus,-81.509252,25.939264
Trichechus manatus,-80.047793,26.822506
Trichechus manatus,-81.928787,26.541735
Trichechus manatus,-81.8295,26.69304
Trichechus manatus,-82.41206,27.79934
Trichechus manatus,-80.053018,26.541471
Trichechus manatus,-82.435888,27.718003
Trichechus manatus,-81.994147,26.545715
Trichechus manatus,-81.53216,25.916752
Trichechus manatus,-80.376693,25.171433
Trichechus manatus,-80.133804,25.90841
Trichechus manatus,-81.53196,30.419023
Trichechus manatus,-82.005852,26.543688
Trichechus manatus,-80.066177,26.838985
Trichechus manatus,-82.060048,26.958047
Trichechus manatus,-81.782207,26.689765
Trichechus manatus,-81.555707,25.898675
Trichechus manatus,-80.608247,28.192575
Trichechus manatus,-81.965627,26.549217
Trichechus manatus,-82.0619,26.87404
Trichechus manatus,-82.595817,28.881585
Trichechus manatus,-82.75271,27.83985
Trichechus manatus,-80.440477,25.280716
Trichechus manatus,-80.194227,25.751665
Trichechus manatus,-80.091417,26.991025
Trichechus manatus,-81.852637,26.489459
Trichechus manatus,-80.067378,26.805589
